lane_index(0=rightmost),idx_along,x,y,z,yaw_deg
0,0,-316.628204,435.997101,0.000000,-0.208
0,1,-286.628387,435.888092,0.000000,-0.208
0,2,-256.628601,435.779053,0.000000,-0.208
0,3,-226.628830,435.670044,0.000000,-0.208
0,4,-196.574387,435.559601,0.000000,-0.407
0,5,-164.339279,432.893280,0.000000,-9.050
0,6,-132.870956,425.413086,0.000000,-17.693
0,7,-102.884079,413.288910,0.000000,-26.336
0,8,-75.059692,396.796082,0.000000,-34.979
0,9,-50.029747,376.309204,0.000000,-43.622
0,10,-28.362740,352.293640,0.000000,-52.265
0,11,-28.098886,351.951965,0.000000,-52.380
1,0,-316.640930,432.497131,0.000000,-0.208
1,1,-286.641113,432.388123,0.000000,-0.208
1,2,-256.641327,432.279083,0.000000,-0.208
1,3,-226.641541,432.170074,0.000000,-0.208
1,4,-196.599243,432.059692,0.000000,-0.407
1,5,-164.889816,429.436859,0.000000,-9.050
1,6,-133.934662,422.078644,0.000000,-17.693
1,7,-104.436783,410.152161,0.000000,-26.336
1,8,-77.066139,393.928284,0.000000,-34.979
1,9,-52.444370,373.775513,0.000000,-43.622
1,10,-31.130695,350.151550,0.000000,-52.265
1,11,-30.871145,349.815460,0.000000,-52.380
2,0,-316.653656,428.997162,0.000000,-0.208
2,1,-286.653839,428.888153,0.000000,-0.208
2,2,-256.654053,428.779114,0.000000,-0.208
2,3,-226.654266,428.670105,0.000000,-0.208
2,4,-196.624100,428.559784,0.000000,-0.407
2,5,-165.440353,425.980408,0.000000,-9.050
2,6,-134.998352,418.744202,0.000000,-17.693
2,7,-105.989487,407.015442,0.000000,-26.336
2,8,-79.072594,391.060516,0.000000,-34.979
2,9,-54.858994,371.241821,0.000000,-43.622
2,10,-33.898651,348.009521,0.000000,-52.265
2,11,-33.643402,347.678986,0.000000,-52.380
3,0,-316.666382,425.497192,0.000000,-0.208
3,1,-286.666565,425.388184,0.000000,-0.208
3,2,-256.666779,425.279144,0.000000,-0.208
3,3,-226.666977,425.170135,0.000000,-0.208
3,4,-196.648956,425.059875,0.000000,-0.407
3,5,-165.990875,422.523987,0.000000,-9.050
3,6,-136.062057,415.409760,0.000000,-17.693
3,7,-107.542198,403.878693,0.000000,-26.336
3,8,-81.079041,388.192749,0.000000,-34.979
3,9,-57.273617,368.708130,0.000000,-43.622
3,10,-36.666607,345.867432,0.000000,-52.265
3,11,-36.415665,345.542480,0.000000,-52.380
